Ref ID,Issue Category,Issue Description,Reference / Location,Relevant?,Recommended to Action?,Proposed Action / Resolution Strategy,Affected Files / Scope,Current Status in Repo,Decision (Action / Do Not Action),User Notes / Instructions
Cap-5.3,Observații Capitole,Cap. 5: Secțiunea 5.4.1 nu este o 'analiză formală' ci un argument informal bazat pe AES-GCM; redenumește în 'Security Arguments & Cryptographic Bounds'.,Secț. 5.4.1,Yes,Yes,Redenumește secțiunea în 'Cryptographic Security Arguments and Irrecoverability Bounds'.,thesis/chapters/8.Evaluation.tex,Not started,Action,
Cap-5.4,Observații Capitole,Cap. 5: Testele din 5.4.3 (144 teste): adaugă acoperirea de cod (JaCoCo) și tipurile de teste (unit / integrare / e2e). Scenariile 2 și 3 au 0.10% erori la 500 VU -> explică natura erorilor (pool exhaustion).,"Secț. 5.4.3, Tab. 5.5, Tab. 5.6",Yes,Yes,"Detaliază erorile de 0.10%: timeout de epuizare a pool-ului de conexiuni HikariCP la saturație maximă (500 VU concurenți), demonstrând comportamentul fail-closed.",thesis/chapters/8.Evaluation.tex,Not started,Action,
Cap-6.1,Observații Capitole,"Cap. 6: Concluziile repetă cifrele problematice (1.988x, 96.820 req/s, 'absolute patient privacy', 'prove'). Rescrie cu ton academic sobru.",Cap. 6.1,Yes,Yes,"Rescrie concluziile conform no-ai-slop și how-to-write-latex: cifre oneste (4-5x end-to-end), formulări prudente ('rezultatele demonstrează viabilitatea', 'sub ipotezele modelului de amenințare').",thesis/chapters/9.Conclusions.tex,Not started,Action,
Cap-6.2,Observații Capitole,"Cap. 6: Secțiunea 6.2 (Limitări) trebuie extinsă cu: server aplicație în TCB (M8), chei în snapshot-uri Vault (M4), retenție globală unică (M9), lipsă TLS intern (M6), Redis (B4), cost operațional KMS HA.",Secț. 6.2,Yes,Yes,Extinde secțiunea de limitări acoperind exact punctele indicate; onestitatea în limitări este extrem de apreciată de comisie.,thesis/chapters/9.Conclusions.tex,Not started,Action,
Cap-6.3,Observații Capitole,"Cap. 6: Future Work: adaugă ancorarea rădăcinii Merkle în jurnal extern, politici per categorie și evaluare cu date FHIR sintetice (Synthea).",Secț. 6.3,Yes,Yes,Completează direcțiile viitoare de cercetare cu aceste 3 elemente de valoare practică.,thesis/chapters/9.Conclusions.tex,Not started,Action,
Fmt-01,Formă și Redactare,'LIST OF SNIPPETS' (p. 6) vs. 'Listing 4.x' în text; unifică în 'List of Listings'. Titlul rămâne orfan la finalul paginii 6.,"main.tex, p. 6–7",Yes,Yes,Înlocuiește '\listof{lstlisting}{List of Snippets}' cu '\listof{lstlisting}{List of Listings}' în main.tex și adaugă \clearpage pentru a preveni titlul orfan.,thesis/main.tex,Not started,Action,
Fmt-02,Formă și Redactare,"Pagini cu spații goale mari (p. 18 doar Tabelul 2.1, 30, 32, 51, 63, 67). Reorganizează floats ([htbp], \FloatBarrier, \raggedbottom).",peste tot în PDF,Yes,Yes,"Ajustează parametrii de plasare a tabelelor și figurilor ([htbp]), aplică \FloatBarrier din pachetul placeins unde este necesar și previne salturile forțate de pagină.","thesis/chapters/*.tex, thesis/main.tex",Not started,Action,
Fmt-03,Formă și Redactare,"Spațiere justificată excesivă cauzată de identificatori lungi în \texttt (ex. p. 21, 22, 36, 38, 39, 43, 51).",multiple pagini,Yes,Yes,"Aplică local \sloppy, \allowbreak sau pachetele url/xurl pentru a permite despărțirea uniformă fără spații albe artificiale între cuvinte.",thesis/chapters/*.tex,Not started,Action,
Fmt-04,Formă și Redactare,NFR4 despărțit de '(Read Concurrency)' pe două rânduri la p. 17.,p. 17 (Secț. 2.3.2),Yes,Yes,Reformulează titlul cerinței pentru a se încadra estetic pe un singur rând.,thesis/chapters/5.TheoreticalFoundations.tex,Not started,Action,
Fmt-05,Formă și Redactare,"Ton de marketing care trebuie temperat: 'mathematical undeniability', 'absolute patient privacy', 'guarantees', 'prove that', 'easily exceeding'.",peste tot în text,Yes,Yes,"Rulare completă de editare conform abilităților 'how-to-write-latex' și 'no-ai-slop': înlocuirea tonului emfatic cu un stil academic, riguros și măsurat.",thesis/chapters/*.tex,Not started,Action,
Fmt-06,Formă și Redactare,Consistență terminologică: 'Merkle DAG' vs 'Merkle tree'; 'crypto-shredding' vs 'cryptographic erasure'; KEKpatient vs KEKpat.,peste tot în text,Yes,Yes,"Unifică terminologia: 'Binary Merkle Tree', 'Cryptographic Erasure (Crypto-Shredding)', și notația matematică KEK_patient în toate figurile și ecuațiile.",thesis/chapters/*.tex,Not started,Action,
Fmt-07,Formă și Redactare,"Abrevieri folosite fără definire la prima apariție: DDoS, PII, PHI, DPO, TCB, SPA, CSP.",multiple secțiuni,Yes,Yes,Definește fiecare acronim complet la prima mențiune în text și generează o 'List of Abbreviations' la începutul lucrării.,"thesis/chapters/*.tex, thesis/main.tex",Not started,Action,
Fmt-08,Formă și Redactare,Anexe recomandate de coordonator: (A) API REST; (B) Schema DB; (C) Rapoarte brute JMH și k6; (D) Certificat complet și verificare offline pas cu pas; (E) Capturi de ecran; (F) Ghid instalare și rulare.,final lucrare,Yes,Yes,"Creează structura de anexe (Appendix A–D) mutând detaliile operaționale, schema tabelelor și pașii de rulare din corpul principal în anexe.","thesis/chapters/appendices.tex, thesis/main.tex",Not started,Action,
Fmt-09,Formă și Redactare,Pagina 70 pare un duplicat al paginii 69 în PDF-ul compilat anterior; verifică bibliografia.,p. 69–70 (Bibliography),Yes,Yes,Verifică compilarea finală pdflatex + bibtex pentru a elimina paginile redundante din finalul bibliografiei.,thesis/main.tex,Not started,Action,
Fmt-10,Formă și Redactare,Adăugare declarație de autenticitate conform cerințelor facultății (Universitatea Politehnica Timișoara).,front matter,Yes,Yes,Activează includerea declarației de autenticitate semnate în main.tex (\includepdf).,thesis/main.tex,Not started,Action,
